MethodKey,Method,ProtocolKey,Protocol,Split,Seed,Scope,Class,Precision,Recall,F1,Support,Predicted_Support
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,512,0.9757085020242915,0.8795620437956204,0.9251439539347409,274,247
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,513,0.9853479853479854,0.7774566473988439,0.8691437802907916,346,273
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,515,1.0,0.88268156424581,0.9376854599406528,179,158
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,516,1.0,0.7777777777777778,0.875,9,7
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,517,1.0,1.0,1.0,38,38
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,518,0.875,0.875,0.875,40,40
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,520,0.9820143884892086,0.8005865102639296,0.8820678513731826,341,278
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,521,1.0,1.0,1.0,1,1
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,522,1.0,0.7951807228915663,0.8859060402684564,249,198
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,523,0.6793756397134084,0.9966216216216216,0.8079732197200243,2664,3908
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,cafeteria,0.984264785675529,0.9428274428274428,0.9631006105654367,1924,1843
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,cleaning,0.953125,0.8433179723502304,0.8948655256723717,434,384
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,hallway,0.9699453551912568,0.8700980392156863,0.917312661498708,408,366
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,kitchen,0.9937913907284768,0.7966157929661579,0.8843462246777164,3014,2416
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,nurse station,0.994660338178582,0.9640598044853363,0.9791210395678202,3478,3371
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,501,0.8222222222222222,0.4625,0.592,160,90
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,502,0.9365079365079365,0.5042735042735043,0.6555555555555556,117,63
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,503,0.8554216867469879,0.9466666666666667,0.8987341772151899,75,83
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,505,0.4166666666666667,0.5,0.45454545454545453,10,12
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,506,0.92,0.9504132231404959,0.9349593495934959,121,125
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,508,0.9583333333333334,0.9452054794520548,0.9517241379310345,73,72
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,510,0.926829268292683,0.7916666666666666,0.8539325842696629,48,41
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,511,0.9274193548387096,0.8582089552238806,0.8914728682170543,134,124
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,512,0.9307359307359307,0.7846715328467153,0.8514851485148515,274,231
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,513,0.9014598540145985,0.7138728323699421,0.7967741935483871,346,274
