MethodKey,Method,ProtocolKey,Protocol,Macro_F1,Macro_F1_SD,Weighted_F1,Weighted_F1_SD,Accuracy,Accuracy_SD,Eval_N,True_Classes,Pred_Classes,Split_Count
ensemble_calibrated,Calibrated Multi-Resolution RF-XGBoost Ensemble (11 s temporal voting),forward,Strict expanding-forward,0.3051249843710259,0.0,0.5962358429590896,0.0,0.6048255894112781,0.0,36265.0,23.0,23.0,3
ensemble_room510,Calibrated Multi-Resolution RF-XGBoost Ensemble + class-510 probability recovery,row_random,Naive stratified row-random 70/30,0.9006456016779648,0.012404120836504193,0.8823176347508659,0.0028011957448285767,0.8796491476267949,0.002666770363285081,14137.0,23.0,23.0,5
ensemble_room510,Calibrated Multi-Resolution RF-XGBoost Ensemble + class-510 probability recovery,block45_random,45 s block-group random 70/30 + 59 s purge,0.3495180789982074,0.026203845874475367,0.6243097282776611,0.04668241653326814,0.6219291819291819,0.07513480175537317,12285.0,19.0,22.0,5
ensemble_room510,Calibrated Multi-Resolution RF-XGBoost Ensemble + class-510 probability recovery,event_random,Event-group random 70/30 + 59 s purge,0.27855576121944703,0.054985164249223485,0.5994477116008199,0.05288912619375105,0.6100363604370332,0.053787083376480874,14109.6,21.0,22.2,5
ensemble_room510,Calibrated Multi-Resolution RF-XGBoost Ensemble + class-510 probability recovery,lodo,Leave-one-day-out (Apr11-Apr13),0.3169016601943134,0.0,0.6009725709633268,0.0,0.604163794292017,0.0,36265.0,23.0,23.0,3
ensemble_room510,Calibrated Multi-Resolution RF-XGBoost Ensemble + class-510 probability recovery,forward,Strict expanding-forward,0.30771463684776523,0.0,0.5965705750216291,0.0,0.6051289121742727,0.0,36265.0,23.0,23.0,3
ensemble_class_aware,Calibrated Multi-Resolution RF-XGBoost Ensemble + class-510 recovery + class-518-weighted temporal voting,row_random,Naive stratified row-random 70/30,0.9006456016779648,0.012404120836504193,0.8823176347508659,0.0028011957448285767,0.8796491476267949,0.002666770363285081,14137.0,23.0,23.0,5
ensemble_class_aware,Calibrated Multi-Resolution RF-XGBoost Ensemble + class-510 recovery + class-518-weighted temporal voting,block45_random,45 s block-group random 70/30 + 59 s purge,0.3477111978869388,0.027245489625469403,0.6230735686963085,0.04822512637640293,0.6202197802197803,0.07674233298013199,12285.0,19.0,22.0,5
ensemble_class_aware,Calibrated Multi-Resolution RF-XGBoost Ensemble + class-510 recovery + class-518-weighted temporal voting,event_random,Event-group random 70/30 + 59 s purge,0.2796845995928392,0.05737465381834613,0.599216847299498,0.05260757283910056,0.609233442520451,0.05333476770333765,14109.6,21.0,22.2,5
ensemble_class_aware,Calibrated Multi-Resolution RF-XGBoost Ensemble + class-510 recovery + class-518-weighted temporal voting,lodo,Leave-one-day-out (Apr11-Apr13),0.32236919996829794,0.0,0.6014825794193964,0.0,0.604163794292017,0.0,36265.0,23.0,23.0,3
ensemble_class_aware,Calibrated Multi-Resolution RF-XGBoost Ensemble + class-510 recovery + class-518-weighted temporal voting,forward,Strict expanding-forward,0.3159298493416404,0.0,0.5972987407144508,0.0,0.6053495105473597,0.0,36265.0,23.0,23.0,3
